Defined Configuration:----------------------
Number of components: 1 
Equation of State:    PR 
Mixing Rule:          VdW1f 
Components:           Methane 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
P(MPa);rho(mol/m3);Cv_res;Cp_res;alfa;uJT;w;lnkT;inv_kT;kT;d2AdT2;dAdT;dPdrho;dPdT;Cv;Cp
6.580309302;3059.52432764;6.53e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.019451731;1.0;1.0;1.0;1.0;1.0
6.723463428;3134.14687222;6.68e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.019503493;1.0;1.0;1.0;1.0;1.0
6.866092421;3208.7694168;6.83e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.019553907;1.0;1.0;1.0;1.0;1.0
7.008214949;3283.39196137;6.97e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.019603038;1.0;1.0;1.0;1.0;1.0
7.149849519;3358.01450595;7.12e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.019650946;1.0;1.0;1.0;1.0;1.0
7.291014485;3432.63705053;7.27e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.019697687;1.0;1.0;1.0;1.0;1.0
7.431728052;3507.2595951;7.41e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.019743312;1.0;1.0;1.0;1.0;1.0
7.572008278;3581.88213968;7.56e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.019787871;1.0;1.0;1.0;1.0;1.0
7.711873083;3656.50468426;7.7e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.019831409;1.0;1.0;1.0;1.0;1.0
7.851340249;3731.12722883;7.85e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.01987397;1.0;1.0;1.0;1.0;1.0
7.990427427;3805.74977341;7.99e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.019915594;1.0;1.0;1.0;1.0;1.0
8.129152141;3880.37231799;8.13e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.019956318;1.0;1.0;1.0;1.0;1.0
8.267531791;3954.99486256;8.28e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.01999618;1.0;1.0;1.0;1.0;1.0
8.405583658;4029.61740714;8.42e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020035212;1.0;1.0;1.0;1.0;1.0
8.543324908;4104.23995172;8.56e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020073448;1.0;1.0;1.0;1.0;1.0
8.680772597;4178.86249629;8.7e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020110916;1.0;1.0;1.0;1.0;1.0
8.817943672;4253.48504087;8.85e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020147646;1.0;1.0;1.0;1.0;1.0
8.954854977;4328.10758545;8.99e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020183666;1.0;1.0;1.0;1.0;1.0
9.091523258;4402.73013002;9.13e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020219;1.0;1.0;1.0;1.0;1.0
9.227965164;4477.3526746;9.27e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020253673;1.0;1.0;1.0;1.0;1.0
9.364197251;4551.97521918;9.41e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020287708;1.0;1.0;1.0;1.0;1.0
9.500235988;4626.59776375;9.55e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020321128;1.0;1.0;1.0;1.0;1.0
9.636097759;4701.22030833;9.69e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020353954;1.0;1.0;1.0;1.0;1.0
9.771798866;4775.84285291;9.82e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020386205;1.0;1.0;1.0;1.0;1.0
9.907355533;4850.46539748;9.96e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0204179;1.0;1.0;1.0;1.0;1.0
10.042783909;4925.08794206;1.01e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020449058;1.0;1.0;1.0;1.0;1.0
10.178100073;4999.71048664;1.024e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020479697;1.0;1.0;1.0;1.0;1.0
10.313320036;5074.33303122;1.038e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020509832;1.0;1.0;1.0;1.0;1.0
10.448459743;5148.95557579;1.051e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.02053948;1.0;1.0;1.0;1.0;1.0
10.583535078;5223.57812037;1.065e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020568656;1.0;1.0;1.0;1.0;1.0
10.718561869;5298.20066495;1.078e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020597374;1.0;1.0;1.0;1.0;1.0
10.853555887;5372.82320952;1.092e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020625648;1.0;1.0;1.0;1.0;1.0
10.988532852;5447.4457541;1.106e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020653491;1.0;1.0;1.0;1.0;1.0
11.123508433;5522.06829867;1.119e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020680917;1.0;1.0;1.0;1.0;1.0
11.258498257;5596.69084325;1.132e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020707938;1.0;1.0;1.0;1.0;1.0
11.393517906;5671.31338783;1.146e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020734565;1.0;1.0;1.0;1.0;1.0
11.528582922;5745.93593241;1.159e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020760809;1.0;1.0;1.0;1.0;1.0
11.663708812;5820.55847698;1.173e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020786682;1.0;1.0;1.0;1.0;1.0
11.798911047;5895.18102156;1.186e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020812194;1.0;1.0;1.0;1.0;1.0
11.934205069;5969.80356614;1.199e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020837355;1.0;1.0;1.0;1.0;1.0
12.06960629;6044.42611071;1.212e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020862175;1.0;1.0;1.0;1.0;1.0
12.205130099;6119.04865529;1.226e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020886662;1.0;1.0;1.0;1.0;1.0
12.340791862;6193.67119986;1.239e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020910827;1.0;1.0;1.0;1.0;1.0
12.476606923;6268.29374444;1.252e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020934677;1.0;1.0;1.0;1.0;1.0
12.612590612;6342.91628902;1.265e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020958221;1.0;1.0;1.0;1.0;1.0
12.748758245;6417.5388336;1.278e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.020981467;1.0;1.0;1.0;1.0;1.0
12.885125125;6492.16137817;1.291e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021004422;1.0;1.0;1.0;1.0;1.0
13.021706546;6566.78392275;1.304e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021027095;1.0;1.0;1.0;1.0;1.0
13.1585178;6641.40646733;1.317e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021049492;1.0;1.0;1.0;1.0;1.0
13.29557417;6716.0290119;1.33e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.02107162;1.0;1.0;1.0;1.0;1.0
13.432890943;6790.65155648;1.343e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021093487;1.0;1.0;1.0;1.0;1.0
13.570483407;6865.27410105;1.356e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021115098;1.0;1.0;1.0;1.0;1.0
13.708366854;6939.89664563;1.369e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.02113646;1.0;1.0;1.0;1.0;1.0
13.846556583;7014.51919021;1.382e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.02115758;1.0;1.0;1.0;1.0;1.0
13.985067905;7089.14173479;1.394e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021178462;1.0;1.0;1.0;1.0;1.0
14.123916141;7163.76427936;1.407e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021199113;1.0;1.0;1.0;1.0;1.0
14.26311663;7238.38682394;1.42e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021219538;1.0;1.0;1.0;1.0;1.0
14.402684726;7313.00936851;1.433e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021239743;1.0;1.0;1.0;1.0;1.0
14.542635806;7387.63191309;1.445e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021259733;1.0;1.0;1.0;1.0;1.0
14.682985268;7462.25445767;1.458e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021279513;1.0;1.0;1.0;1.0;1.0
14.823748536;7536.87700224;1.471e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021299087;1.0;1.0;1.0;1.0;1.0
14.964941064;7611.49954682;1.483e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021318462;1.0;1.0;1.0;1.0;1.0
15.106578333;7686.1220914;1.496e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.02133764;1.0;1.0;1.0;1.0;1.0
15.24867586;7760.74463598;1.508e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021356627;1.0;1.0;1.0;1.0;1.0
15.391249197;7835.36718055;1.521e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021375427;1.0;1.0;1.0;1.0;1.0
15.534313934;7909.98972513;1.533e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021394044;1.0;1.0;1.0;1.0;1.0
15.677885702;7984.6122697;1.546e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021412483;1.0;1.0;1.0;1.0;1.0
15.821980177;8059.23481428;1.558e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021430747;1.0;1.0;1.0;1.0;1.0
15.966613078;8133.85735886;1.57e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.02144884;1.0;1.0;1.0;1.0;1.0
16.111800175;8208.47990343;1.583e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021466766;1.0;1.0;1.0;1.0;1.0
16.257557288;8283.10244801;1.595e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021484529;1.0;1.0;1.0;1.0;1.0
16.403900291;8357.72499259;1.607e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021502132;1.0;1.0;1.0;1.0;1.0
16.550845113;8432.34753717;1.62e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021519578;1.0;1.0;1.0;1.0;1.0
16.698407744;8506.97008174;1.632e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021536872;1.0;1.0;1.0;1.0;1.0
16.846604235;8581.59262632;1.644e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021554016;1.0;1.0;1.0;1.0;1.0
16.995450699;8656.2151709;1.656e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021571014;1.0;1.0;1.0;1.0;1.0
17.144963318;8730.83771547;1.668e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021587869;1.0;1.0;1.0;1.0;1.0
17.295158341;8805.46026005;1.681e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021604583;1.0;1.0;1.0;1.0;1.0
17.44605209;8880.08280463;1.693e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.02162116;1.0;1.0;1.0;1.0;1.0
17.597660962;8954.7053492;1.705e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021637603;1.0;1.0;1.0;1.0;1.0
17.75000143;9029.32789378;1.717e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021653914;1.0;1.0;1.0;1.0;1.0
17.903090048;9103.95043836;1.729e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021670097;1.0;1.0;1.0;1.0;1.0
18.05694345;9178.57298293;1.741e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021686153;1.0;1.0;1.0;1.0;1.0
18.211578358;9253.19552751;1.753e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021702086;1.0;1.0;1.0;1.0;1.0
18.36701158;9327.81807209;1.765e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021717898;1.0;1.0;1.0;1.0;1.0
18.523260014;9402.44061666;1.777e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021733592;1.0;1.0;1.0;1.0;1.0
18.680340653;9477.06316124;1.789e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.02174917;1.0;1.0;1.0;1.0;1.0
18.838270585;9551.68570582;1.8e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021764634;1.0;1.0;1.0;1.0;1.0
18.997066996;9626.30825039;1.812e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021779987;1.0;1.0;1.0;1.0;1.0
19.156747175;9700.93079497;1.824e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021795231;1.0;1.0;1.0;1.0;1.0
19.317328514;9775.55333955;1.836e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021810368;1.0;1.0;1.0;1.0;1.0
19.478828512;9850.17588412;1.848e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021825401;1.0;1.0;1.0;1.0;1.0
19.64126478;9924.7984287;1.859e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021840331;1.0;1.0;1.0;1.0;1.0
19.80465504;9999.42097328;1.871e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021855161;1.0;1.0;1.0;1.0;1.0
19.96901713;10074.0435179;1.883e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021869893;1.0;1.0;1.0;1.0;1.0
20.134369007;10148.6660624;1.895e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021884528;1.0;1.0;1.0;1.0;1.0
20.30072875;10223.288607;1.906e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021899069;1.0;1.0;1.0;1.0;1.0
20.46811456;10297.9111516;1.918e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021913517;1.0;1.0;1.0;1.0;1.0
20.63654477;10372.5336962;1.93e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021927875;1.0;1.0;1.0;1.0;1.0
20.80603784;10447.1562407;1.941e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021942144;1.0;1.0;1.0;1.0;1.0
20.976612366;10521.7787853;1.953e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021956327;1.0;1.0;1.0;1.0;1.0
21.148287078;10596.4013299;1.964e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021970424;1.0;1.0;1.0;1.0;1.0
21.321080849;10671.0238745;1.976e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021984437;1.0;1.0;1.0;1.0;1.0
21.495012693;10745.646419;1.987e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.021998369;1.0;1.0;1.0;1.0;1.0
21.670101771;10820.2689636;1.999e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.02201222;1.0;1.0;1.0;1.0;1.0
21.846367393;10894.8915082;2.01e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022025993;1.0;1.0;1.0;1.0;1.0
22.023829023;10969.5140528;2.022e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022039689;1.0;1.0;1.0;1.0;1.0
22.202506279;11044.1365973;2.033e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.02205331;1.0;1.0;1.0;1.0;1.0
22.38241894;11118.7591419;2.045e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022066856;1.0;1.0;1.0;1.0;1.0
22.563586946;11193.3816865;2.056e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022080331;1.0;1.0;1.0;1.0;1.0
22.746030406;11268.0042311;2.067e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022093734;1.0;1.0;1.0;1.0;1.0
22.929769596;11342.6267757;2.079e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022107068;1.0;1.0;1.0;1.0;1.0
23.114824965;11417.2493202;2.09e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022120334;1.0;1.0;1.0;1.0;1.0
23.301217142;11491.8718648;2.101e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022133533;1.0;1.0;1.0;1.0;1.0
23.488966932;11566.4944094;2.112e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022146667;1.0;1.0;1.0;1.0;1.0
23.678095326;11641.116954;2.124e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022159737;1.0;1.0;1.0;1.0;1.0
23.868623504;11715.7394985;2.135e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022172745;1.0;1.0;1.0;1.0;1.0
24.060572833;11790.3620431;2.146e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022185691;1.0;1.0;1.0;1.0;1.0
24.25396488;11864.9845877;2.157e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022198577;1.0;1.0;1.0;1.0;1.0
24.448821408;11939.6071323;2.169e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022211404;1.0;1.0;1.0;1.0;1.0
24.645164383;12014.2296768;2.18e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022224174;1.0;1.0;1.0;1.0;1.0
24.843015979;12088.8522214;2.191e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022236887;1.0;1.0;1.0;1.0;1.0
25.04239858;12163.474766;2.202e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022249545;1.0;1.0;1.0;1.0;1.0
25.243334785;12238.0973106;2.213e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022262149;1.0;1.0;1.0;1.0;1.0
25.445847412;12312.7198552;2.224e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0222747;1.0;1.0;1.0;1.0;1.0
25.649959501;12387.3423997;2.235e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022287199;1.0;1.0;1.0;1.0;1.0
25.855694322;12461.9649443;2.246e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022299648;1.0;1.0;1.0;1.0;1.0
26.063075373;12536.5874889;2.257e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022312047;1.0;1.0;1.0;1.0;1.0
26.272126392;12611.2100335;2.268e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022324398;1.0;1.0;1.0;1.0;1.0
26.482871356;12685.832578;2.279e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022336701;1.0;1.0;1.0;1.0;1.0
26.695334484;12760.4551226;2.29e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022348958;1.0;1.0;1.0;1.0;1.0
26.90954025;12835.0776672;2.301e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.02236117;1.0;1.0;1.0;1.0;1.0
27.125513378;12909.7002118;2.312e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022373337;1.0;1.0;1.0;1.0;1.0
27.343278853;12984.3227563;2.323e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022385461;1.0;1.0;1.0;1.0;1.0
27.562861922;13058.9453009;2.334e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022397543;1.0;1.0;1.0;1.0;1.0
27.784288103;13133.5678455;2.345e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022409583;1.0;1.0;1.0;1.0;1.0
28.007583186;13208.1903901;2.356e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022421583;1.0;1.0;1.0;1.0;1.0
28.23277324;13282.8129347;2.366e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022433543;1.0;1.0;1.0;1.0;1.0
28.459884617;13357.4354792;2.377e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022445465;1.0;1.0;1.0;1.0;1.0
28.68894396;13432.0580238;2.388e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.02245735;1.0;1.0;1.0;1.0;1.0
28.919978203;13506.6805684;2.399e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022469197;1.0;1.0;1.0;1.0;1.0
29.153014582;13581.303113;2.41e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022481009;1.0;1.0;1.0;1.0;1.0
29.388080638;13655.9256575;2.42e-06;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.022492786;1.0;1.0;1.0;1.0;1.0
