Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           Methanol 
Feed Composition:     [0.5, 0.5] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
P(MPa);rho(mol/m3);Cv_res;Cp_res;alfa;uJT;w;lnkT;inv_kT;kT;d2AdT2;dAdT;dPdrho;dPdT;Cv;Cp
7.2e-08;1e-06;-2e-09;0.002790658;0.038718654;6.8e-08;2433.9912042;19.433615941;4e-09;275367173.35;0.0;-0.000114648;0.003631515;0.0;5.4594e-05;0.002853569
0.234457743;64.561947188;2.8e-06;9.715e-06;0.001768563;-0.026017389;412.711788601;1.278498342;0.278455131;3.591242857;-5e-09;3.5033e-05;0.004312992;0.000492465;5.7396e-05;7.2626e-05
0.55691033;129.123894377;5.385e-06;1.6219e-05;0.002230636;0.07866471;418.206937321;0.600611934;0.548475902;1.823234158;-1.1e-08;4.1215e-05;0.004247672;0.00122345;5.9981e-05;7.913e-05
0.782933646;193.685841565;7.778e-06;1.988e-05;0.002502576;0.206509437;395.193395828;0.314466933;0.730178004;1.369529066;-1.5e-08;4.4994e-05;0.003769909;0.001827326;6.2374e-05;8.2791e-05
1.043695666;258.247788753;9.998e-06;2.2967e-05;0.002558375;0.310887034;400.503544468;0.001722452;0.998279031;1.001723936;-2e-08;4.7781e-05;0.003865586;0.002553972;6.4594e-05;8.5878e-05
1.282073161;322.809735942;1.2062e-05;2.6492e-05;0.002764334;0.49588791;392.69357571;-0.173269058;1.189186023;0.84091133;-2.4e-08;5.0017e-05;0.00368386;0.003287308;6.6658e-05;8.9402e-05
1.519370075;387.37168313;1.3985e-05;2.9606e-05;0.002904358;0.684032255;390.016088017;-0.336104679;1.399485514;0.714548303;-2.7e-08;5.1902e-05;0.003612772;0.004064607;6.8581e-05;9.2517e-05
1.748568333;451.933630318;1.578e-05;3.2742e-05;0.003071694;0.910638541;385.710175795;-0.460558491;1.584958923;0.630931178;-3.1e-08;5.354e-05;0.003507061;0.004868509;7.0376e-05;9.5653e-05
1.972215482;516.495577507;1.7459e-05;3.5735e-05;0.003230326;1.157437941;382.093133419;-0.568009176;1.764750245;0.566652422;-3.4e-08;5.4996e-05;0.003416777;0.005700718;7.2055e-05;9.8646e-05
2.189755894;581.057524695;1.9031e-05;3.8663e-05;0.003393679;1.429056986;378.391037007;-0.658660817;1.932203027;0.517543957;-3.7e-08;5.6311e-05;0.003325321;0.006557277;7.3627e-05;0.000101573
