Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           Methanol 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
P(MPa);rho(mol/m3);Cv_res;Cp_res;alfa;uJT;w;lnkT;inv_kT;kT;d2AdT2;dAdT;dPdrho;dPdT;Cv;Cp
8.7e-08;1e-06;-1e-09;0.002767566;0.031988666;8.2e-08;2512.3931925;19.242367456;4e-09;227433274.932;0.0;-0.000114684;0.004396894;0.0;6.1691e-05;0.002837573
0.28387212;64.561947188;7.7e-07;7.101e-06;0.001399855;-0.047106626;449.842929904;1.081495076;0.339088184;2.949085365;-1e-09;3.4758e-05;0.005252137;0.000474674;6.2463e-05;7.7108e-05
0.678176449;129.123894377;1.519e-06;1.0913e-05;0.00170622;0.033553619;457.844305896;0.389436846;0.677438269;1.47614926;-2e-09;4.0672e-05;0.005246421;0.001155859;6.3211e-05;8.0921e-05
0.961310389;193.685841565;2.245e-06;1.2041e-05;0.00183264;0.116900981;435.777706233;0.085169556;0.918356558;1.088901681;-4e-09;4.4196e-05;0.004741475;0.001683017;6.3938e-05;8.2048e-05
1.290414155;258.247788753;2.951e-06;1.2957e-05;0.001818085;0.150384543;443.966511565;-0.239631017;1.270780167;0.786918167;-5e-09;4.674e-05;0.004920779;0.002310386;6.4644e-05;8.2964e-05
1.596700473;322.809735942;3.638e-06;1.4244e-05;0.001902476;0.261804454;437.877898892;-0.430325371;1.537757784;0.650297472;-6e-09;4.8747e-05;0.004763666;0.002925547;6.5331e-05;8.4251e-05
1.905517268;387.37168313;4.305e-06;1.533e-05;0.001945298;0.360673689;437.186900925;-0.606844265;1.834632639;0.545068249;-7e-09;5.0413e-05;0.004736104;0.003568907;6.5998e-05;8.5337e-05
2.208244686;451.933630318;4.955e-06;1.6486e-05;0.002004788;0.491517923;434.644116034;-0.745665954;2.107844696;0.474418254;-8e-09;5.1843e-05;0.004664058;0.004225781;6.6647e-05;8.6493e-05
2.50775861;516.495577507;5.587e-06;1.7602e-05;0.002058961;0.634269363;432.750133814;-0.867069207;2.379925553;0.420181211;-9e-09;5.3101e-05;0.004607833;0.004900174;6.7279e-05;8.761e-05
2.803226074;581.057524695;6.202e-06;1.872e-05;0.002115465;0.796089742;430.689364451;-0.971723183;2.64249404;0.378430371;-1e-08;5.4226e-05;0.004547732;0.005590102;6.7894e-05;8.8728e-05
