 Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           Methanol 
Feed Composition:     [0.5, 0.5] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
T;rhov;rhol;P

300.0;-5.395240033;24586.0787503;0.000927708
312.295736995;14.443855269;24216.2580741;0.006873644
324.396644105;32.742869745;23839.2763165;0.035647409
336.299910828;50.543825482;23453.3906844;0.083658782
348.001334257;68.918024642;23056.9070586;0.148892014
359.495328774;89.581348293;22647.9938315;0.230733662
370.774535016;118.614238823;22224.8387865;0.331077838
381.82764729;179.391206393;21786.6212095;0.464519378
392.631262291;241.042051607;21332.5925155;0.637560358
403.177037523;323.660225203;20860.9862094;0.851957324
413.445700515;423.477505694;20370.7342797;1.112468348
423.419328902;544.711664523;19860.5393433;1.422033069
433.077242742;689.529809671;19329.1317218;1.782461997
442.397043698;860.612885418;18775.1530667;2.194115595
451.354313788;1060.8989713;18197.0309247;2.655758866
459.922379765;1294.04800378;17592.8992721;3.164466607
468.071805399;1564.64535587;16960.3649058;3.715534842
475.769665174;1878.72120119;16296.1746715;4.30237221
482.978391909;2244.54633668;15595.5828365;4.916332164
489.653910159;2674.00515563;14851.1242281;5.546421451
495.742469696;3185.40962864;14049.9306002;6.178787845
501.174730181;3810.73948809;13166.812264;6.795767574
505.852766569;4620.58458682;12141.2906233;7.373873209
509.613119588;5872.30423953;10750.3832765;7.878349137
510.832639347;6911.73102476;9741.35706609;8.052908051
510.832639347;6911.73103599;9741.35707151;8.052908051
511.137519287;7545.88899454;9167.75704718;8.097965523
511.137519287;7545.88900652;9167.75702679;8.097965523
511.213739272;7847.10850394;8894.0034245;8.109365714
511.251849264;8381.09948996;8381.09948996;8.115089991
