L;phi;Fobj_dens_liq;Fobj_dens_vap;Fobj_P;Tc;Pc;rhoc
3e-10;4.14081632653;0.618653232149;0.61578798774;0.005652464462270001;521.596396984;9.57494399943;8866.60694687
3e-10;4.34285714286;0.827696944499;0.677821600342;0.00965483347425;522.850749413;9.828059590419999;8959.75369617
3e-10;4.54489795918;1.072717557;0.747424778529;0.0140100951895;524.226800512;10.09960643;9115.53360449
3e-10;4.74693877551;1.3440332681099998;0.823991443838;0.0183892331729;525.723661402;10.3899598108;9274.52546969
3e-10;4.948979591840001;1.6300467606600002;0.906544847019;0.022560329107300003;527.317605696;10.6954850676;9431.91135645
3e-10;5.15102040816;1.91976819444;0.9938283162549999;0.026381892185;529.035178569;11.0212404542;9592.50920008
3e-10;5.35306122449;2.20454380356;1.08466727485;0.0297832652866;530.853560308;11.3636730302;9749.89508684
3e-10;5.5551020408200005;2.47863941772;1.17780509643;0.0327506088254;532.775669114;11.7237582073;9905.67499516
3e-10;5.75714285714;2.7389380171;1.27231709807;0.035291609687;534.805303414;12.102768606800005;10035.7592485
3e-10;5.95918367347;2.98426081877;1.3673867070299999;0.0374318078265;536.8966768930001;12.4923698355;10185.115243100001
3e-10;6.1612244898;3.21474172182;1.46242719646;0.0392125219314;539.088148382;12.9004385404;10321.623410200002
3e-10;6.36326530612;3.43118607432;1.5569748449899998;0.040662126035199996;541.3112804269999;13.3137678995;10426.0120085
3e-10;6.56530612245;3.63490632215;1.65053887012;0.0418380215907;543.607617957;13.7409690205;10530.4006069
3e-10;6.76734693878;3.82699804388;1.74335642185;0.04272900861280001;545.934772808;14.173703326400002;10649.2430112
3e-10;6.9693877551;4.0093885165400005;1.83438707051;0.0434336433849;548.28089301;14.6096147053;10732.7538899
3e-10;7.17142857143;4.18367907083;1.9241871064400002;0.043920693837;550.645464575;15.048707047;10814.6587901
3e-10;7.37346938776;4.3512157784699985;2.01277662877;0.0442120371403;553.022447878;15.4898131325;10890.1397766
3e-10;7.575510204079999;4.5135040419;2.0999544342200003;0.0443369933082;555.408665681;15.932366122100001;10955.9848925
3e-10;7.77755102041;4.67085868556;2.18573858596;0.0443121852302;557.789424771;16.3732137509;11004.1642456
3e-10;7.97959183673;4.82336696766;2.27014885846;0.0441530105407;560.171952495;16.8140229238;11058.7675124
3e-10;8.181632653060001;4.97136870437;2.35317636378;0.0438735453778;562.549216595;17.2532847389;11127.824585200002
3e-10;8.383673469389999;5.11513847633;2.43484191002;0.0434866309597;564.907627608;17.6879758726;11139.0664342
3e-10;8.58571428571;5.25489349802;2.51517926884;0.0430040132709;567.242819666;18.1171066782;11145.490348
3e-10;8.78775510204;5.390848152389999;2.59422459476;0.042436459332499996;569.5435795369999;18.5381185286;11216.153399200002
3e-10;8.98979591837;5.52319670658;2.67197807605;0.0417937974593;571.847091267;18.9594682925;11256.3028601
3e-10;9.19183673469;5.65212244161;2.74848024796;0.0410850171487;574.143487195;19.3789627174;11290.0284073
3e-10;9.39387755102;5.77778718189;2.82375646714;0.0403183497375;576.38318444;19.7851870837;11293.2403641
3e-10;9.59591836735;5.90035037824;2.89784528693;0.0395013321876;578.621173456;20.1907973829;11306.088191600002
3e-10;9.79795918367;6.019956194830001;2.9707731780799995;0.0386408740454;580.846132428;20.593208068499997;11314.1180838
3e-10;10.0;6.13674202038;3.04255891914;0.037743295636400005;583.035009445;20.9870697823;11325.359932899999
3.14285714286e-10;0.1;0.8465643847390001;1.80662743301;0.492642616423;515.486099867;7.060419320519999;5669.10388017
3.14285714286e-10;0.302040816327;0.830941006885;1.5692250878;0.429494743881;514.861354813;7.08911402467;5799.18813351
3.14285714286e-10;0.504081632653;0.8043736246969999;1.34608596847;0.370606697619;514.357497827;7.12901908762;5910.00064562
3.14285714286e-10;0.70612244898;0.765988279756;1.14172125611;0.316110102053;513.961897395;7.17908832612;6068.99251081
3.14285714286e-10;0.908163265306;0.7165654945990001;0.962011689734;0.266128416899;513.690240627;7.241199155610001;6300.25340564
3.14285714286e-10;1.1102040816299998;0.658758247435;0.8131625137549999;0.22076333908100002;513.609507174;7.323135815800001;6629.47898509
3.14285714286e-10;1.31224489796;0.595781244933;0.698057516499;0.18007211380999996;513.770958738;7.43200469131;7018.12576667
3.14285714286e-10;1.51428571429;0.530254093759;0.614563262874;0.144050027488;514.080467225;7.557808614480001;7257.41655368
3.14285714286e-10;1.71632653061;0.464271168051;0.557613733147;0.112627631431;514.468215992;7.69227221332;7418.01439731
3.14285714286e-10;1.91836734694;0.399862915332;0.521619609651;0.08567650253080003;514.899821991;7.83106893133;7519.1910388
3.14285714286e-10;2.12040816327;0.339311774567;0.502132224401;0.06301624961619999;515.40518985;7.978241029299999;7644.45735683
3.14285714286e-10;2.3224489795900003;0.285304139069;0.49583487521499997;0.044419328374;515.961740734;8.13092703601;7729.57421396
3.14285714286e-10;2.52448979592;0.241111529765;0.500389628612;0.0296139931264;516.601211996;8.2935609691;7901.41390664
3.14285714286e-10;2.7265306122400004;0.210627101532;0.51419852377;0.018286430666900003;517.265373952;8.45816040668;7935.13945381
3.14285714286e-10;2.92857142857;0.198428345644;0.536328271978;0.0100832405717;518.0291444000002;8.63533037317;8042.74000904
3.14285714286e-10;3.1306122449;0.20965538271899997;0.56631932444;0.00461547075125;518.8573070819999;8.82024306147;8105.37316805
3.14285714286e-10;3.33265306122;0.249675472134;0.6039857921;0.00146561051478;519.749094578;9.01286319193;8243.48731358
3.14285714286e-10;3.53469387755;0.323435456758;0.649448544152;0.00019883779432599996;520.7278686230001;9.21675729332;8362.32971786
3.14285714286e-10;3.73673469388;0.434454547671;0.7027975865620001;0.000379305058298;521.79607587;9.43249307905;8479.56614371
3.14285714286e-10;3.9387755101999997;0.583636794987;0.764047212681;0.00159081424772;522.955282667;9.66052544514;8617.68028924
3.14285714286e-10;4.14081632653;0.7683668876890001;0.8329453753980001;0.0034591089413000004;524.227779863;9.90464743689;8742.94660727
3.14285714286e-10;4.34285714286;0.982440602075;0.908913203884;0.005671064035489999;525.597901075;10.1627295338;8879.45477436
3.14285714286e-10;4.54489795918;1.21714101319;0.990994681383;0.007985713888550001;527.054754316;10.4332563726;9017.56891988
3.14285714286e-10;4.74693877551;1.46309110502;1.0781220895999999;0.010234465397;528.638259594;10.723191763600001;9178.16676351
3.14285714286e-10;4.948979591840001;1.71197196187;1.16901178236;0.01231186721;530.301225457;11.0250233729;9298.61514623
3.14285714286e-10;5.15102040816;1.95749159488;1.2625678778899998;0.014161197770100001;532.054588199;11.3408705224;9441.54722706
3.14285714286e-10;5.35306122449;2.19554955493;1.35777574823;0.0157554950682;533.923212579;11.675596883699999;9545.93582542
3.14285714286e-10;5.5551020408200005;2.42386504382;1.45382265239;0.0171014934459;535.854493784;12.020224047300001;9692.07986313
3.14285714286e-10;5.75714285714;2.64149048013;1.55002378752;0.0182066522864;537.851316088;12.37550598;9838.22390083
3.14285714286e-10;5.95918367347;2.84832308639;1.64587959542;0.0190883410269;539.896604095;12.738503035699999;9932.97662858
3.14285714286e-10;6.1612244898;3.04477430281;1.7410800201700003;0.0197665353999;542.007435251;13.1127251733;10019.6994641
3.14285714286e-10;6.36326530612;3.23152765027;1.8352788329099998;0.020261598958099997;544.123479484;13.4867865394;10128.905997799999
3.14285714286e-10;6.56530612245;3.40936096425;1.92836553261;0.0205898235631;546.296242165;13.870830101;10226.8706824
3.14285714286e-10;6.76734693878;3.57912629671;2.0201795071400004;0.0207742865574;548.495675041;14.2592613226;10318.4114533
3.14285714286e-10;6.9693877551;3.74159486964;2.1106392641;0.020828820084;550.690884203;14.6459642946;10340.8951514
3.14285714286e-10;7.17142857143;3.8975332831699996;2.19964326578;0.020773875184;552.883351683;15.0312737605;10454.9196204
3.14285714286e-10;7.37346938776;4.04794799699;2.28703075493;0.0206265401453;555.095687357;15.419888766300001;10490.251146
3.14285714286e-10;7.575510204079999;4.19308013917;2.3731625102000002;0.020382459963;557.273385074;15.8006426646;10512.7348441
3.14285714286e-10;7.77755102041;4.33366891815;2.45785466637;0.0200620669092;559.454759836;16.1814831543;10572.156046200002
3.14285714286e-10;7.97959183673;4.47008130578;2.5411467644799997;0.0196755133447;561.629653724;16.560360008900002;10633.1832268
3.14285714286e-10;8.181632653060001;4.60256760092;2.62305526654;0.0192320728707;563.77458076;16.932352150499998;10647.6370327
3.14285714286e-10;8.383673469389999;4.73129914864;2.7035903510000003;0.0187401998853;565.937019953;17.307530109;10657.272903399999
3.14285714286e-10;8.58571428571;4.856477759100001;2.78278507619;0.0182076095519;568.040140406;17.669614223499998;10687.7864936
3.14285714286e-10;8.78775510204;4.97829409431;2.8606689246900014;0.0176413275832;570.149625164;18.0325835704;10687.7864936
3.14285714286e-10;8.98979591837;5.09692327794;2.9372866087;0.017047759373;572.217506998;18.3862006078;10740.783782
3.14285714286e-10;9.19183673469;5.2125188820499995;3.01265403991;0.0164327417512;574.292854068;18.74100719;10787.3571567
3.14285714286e-10;9.39387755102;5.3252289921900005;3.0868005913200003;0.015801585008;576.347700685;19.091033203;10808.2348764
3.14285714286e-10;9.59591836735;5.43519015646;3.15976302673;0.015159128566399999;578.360505025;19.4315924289;10808.2348764
3.14285714286e-10;9.79795918367;5.54252811597;3.23156892473;0.014509777620899996;580.337454526;19.7640232276;10806.6288979
3.14285714286e-10;10.0;5.64736491231;3.30225368256;0.0138575428314;582.348967658;20.103643383199998;10814.6587901
3.28571428571e-10;0.1;0.8917448517190001;1.35912995856;0.400812058144;514.154540607;7.0667749868;6032.05500678
3.28571428571e-10;0.302040816327;0.860152336067;1.16447688876;0.3456049984790001;513.9429549619999;7.13304972171;6298.64742721
3.28571428571e-10;0.504081632653;0.8192105528229999;0.997293843139;0.294805986709;513.9274694659999;7.219656004;6674.4463813
3.28571428571e-10;0.70612244898;0.77000234639;0.860795265627;0.24847842853;514.07744654;7.324064095960001;6900.88934082
3.28571428571e-10;0.908163265306;0.713923265445;0.754593182278;0.20664142005;514.2989278709999;7.4356727916;7045.42740009
3.28571428571e-10;1.1102040816299998;0.6524094607600001;0.675601908935;0.169263333941;514.59041987;7.55448909381;7170.69371812
3.28571428571e-10;1.31224489796;0.586993599467;0.619657390591;0.136263475243;514.926189229;7.677443694989999;7255.81057525
3.28571428571e-10;1.51428571429;0.519361218133;0.582626456372;0.10751595166200001;515.312809747;7.80540594862;7342.53341081
3.28571428571e-10;1.71632653061;0.451457038942;0.561060619836;0.082853783501;515.766610809;7.94058376792;7424.43831106
3.28571428571e-10;1.91836734694;0.385614099753;0.552292987425;0.062072176655800004;516.240473375;8.07687184341;7507.94918975
3.28571428571e-10;2.12040816327;0.324659367789;0.554339517225;0.0449306552254;516.78705704;8.22122264145;7589.8540900000025
3.28571428571e-10;2.3224489795900003;0.272035950519;0.565821365321;0.0311546410886;517.377538034;8.36986799241;7673.36496869
3.28571428571e-10;2.52448979592;0.231881859247;0.585846605077;0.0204371657879;518.070821599;8.53089446334;7753.6638905
3.28571428571e-10;2.7265306122400004;0.209015287194;0.61392263396;0.0124415639178;518.787448575;8.693514766860003;7848.41661825
3.28571428571e-10;2.92857142857;0.208773552427;0.649934244748;0.006806113162649999;519.600245568;8.867844391839999;7970.4709794
