 Defined Configuration:----------------------
Number of components: 1 
Equation of State:    SRK+RG 
Mixing Rule:          VdW1f 
Components:           n-Decane(Lit) 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
T;rhov;rhol;P
585.0;452.186409638;2281.82463479;1.367827825
587.5;475.333638927;2239.09684451;1.416377513
590.0;500.130998023;2194.56376365;1.466202138
592.5;526.804232722;2147.9970484;1.517323188
595.0;555.636727278;2099.11160633;1.569762321
597.5;586.99224047;2047.5427582;1.623541397
600.0;621.34760851;1992.81099619;1.678682436
602.5;659.354401444;1934.26202109;1.735207659
605.0;701.945979871;1870.96196092;1.793139468
607.5;750.537615163;1801.492125;1.85250046
610.0;807.486397112;1723.49387203;1.91331342
612.5;877.302969385;1632.45354311;1.975601337
615.0;971.22497875;1517.13214017;2.039387393
617.5;1158.69151078;1308.08621589;2.104694976
617.627341872;1232.64938726;1232.64938726;2.108061653
