Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           Methanol 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
P(MPa);rho(mol/m3);Cv;Cp;alfa;uJT;w;lnkT;inv_kT;kT;d2AdT2;dAdT;dPdrho;dPdT;
8.5e-08;1e-06;-0.000384862;1290.98820491;26.768540009;4.8225e-05;nan;19.561607635;3e-09;312966788.109;6.83e-07;-0.069458901;0.003195227;8.6e-08
0.257862696;80.702433985;0.5454826;2.056293086;0.783192742;155.325736799;532.279759091;1.042638095;0.352523464;2.836690612;-0.000967408;0.016072665;0.004368189;0.276093818
0.705047008;161.404867971;1.061400731;3.642945207;0.951300752;437.18776422;546.588068931;0.202652188;0.816562202;1.224646447;-0.001882383;0.019493799;0.005059093;0.776796237
1.074424898;242.107301956;1.549269088;4.809040973;1.135405957;694.008894476;489.395307714;-0.082251733;1.08572909;0.921040073;-0.002747613;0.0215619;0.004484495;1.232743276
1.428866401;322.809735942;2.011392658;5.644943426;1.220217192;959.862545263;457.152813528;-0.334409708;1.397115436;0.715760469;-0.003567185;0.023073711;0.004327984;1.704784274
1.772982616;403.512169927;2.449626808;6.416181154;1.292783888;1236.36848164;435.532605151;-0.529702558;1.69842705;0.588780071;-0.004344388;0.024279057;0.00420911;2.195699125
2.108237222;484.214603912;2.865653635;7.154593214;1.361454289;1523.4164731;419.859590452;-0.686654812;1.987057322;0.503256745;-0.005082208;0.025289316;0.004103671;2.705287714
2.435335057;564.917037898;3.261001805;7.871082551;1.428733466;1820.54979558;407.846102239;-0.816541535;2.262660957;0.441957509;-0.005783354;0.026163976;0.004005298;3.232739433
2.754711781;645.619471883;3.637063709;8.570895281;1.495651655;2127.23371542;398.245518935;-0.926396162;2.525391655;0.395978183;-0.006450296;0.026938607;0.003911579;3.777106209
3.066682971;726.321905869;3.995636144;9.257722469;1.562724948;2442.93222306;390.307686958;-1.02085279;2.775560725;0.36028756;-0.00708622;0.027636196;0.003821392;4.337437988
3.371503053;807.024339854;4.336304365;9.932230608;1.630255708;2767.13391195;383.614781881;-1.103112955;3.013532428;0.331836482;-0.007690392;0.028272482;0.003734128;4.91282844
3.669389456;887.726773839;4.661690756;10.597764434;1.698449049;3099.3623886;377.819242187;-1.175474911;3.23968114;0.308672353;-0.008267461;0.028858718;0.003649412;5.502433352
3.960535988;968.429207825;4.972149926;11.255153067;1.767447272;3439.16246091;372.728259066;-1.239644893;3.454386569;0.289486999;-0.008818058;0.029403245;0.003567;6.105446117
4.245120551;1049.13164181;5.268825688;11.905999527;1.8373767;3786.13048348;368.189127932;-1.29692065;3.658014996;0.273372307;-0.009344209;0.029912412;0.003486707;6.721151524
4.523307525;1129.8340758;5.552598823;12.551562391;1.908341703;4139.88681548;364.093583412;-1.348312854;3.850922979;0.259678006;-0.009847478;0.030391182;0.003408397;7.348876917
4.795252405;1210.53650978;5.823905725;13.192612734;1.980432051;4500.07909123;360.36739515;-1.394625137;4.033462292;0.247925957;-0.010328638;0.030843499;0.003331963;7.987998002
5.061102498;1291.23894377;6.083554316;13.830341303;2.053741396;4866.39413747;356.947510911;-1.436503238;4.205962822;0.237757689;-0.010789122;0.031272562;0.003257308;8.637959955
5.320997758;1371.94137775;6.332345431;14.465863432;2.1283493;5238.52530737;353.783640252;-1.474476229;4.368746949;0.228898586;-0.01123035;0.031680997;0.003184354;9.298219512
5.575072727;1452.64381174;6.57073061;15.099959636;2.204333454;5616.19361846;350.840896441;-1.508983123;4.522130008;0.22113473;-0.011653124;0.03207099;0.003113034;9.968282461
5.823456647;1533.34624572;6.799346527;15.733641355;2.281776993;5999.14880883;348.088385226;-1.5403899;4.666409349;0.214297531;-0.012058572;0.032444382;0.003043285;10.647705491
6.066273711;1614.04867971;7.018690058;16.367773183;2.360759338;6387.15643774;345.502436936;-1.569006652;4.801875888;0.208251946;-0.012447576;0.032802739;0.00297505;11.33607334
6.303644236;1694.75111369;7.229300762;17.003270314;2.441358981;6779.99954607;343.062686484;-1.595098176;4.92881294;0.202888609;-0.012821092;0.033147405;0.002908281;12.033001736
6.535684467;1775.45354768;7.431603987;17.6409595;2.523657361;7177.47924419;340.753361805;-1.618891336;5.047491243;0.198118224;-0.013179874;0.033479542;0.002842931;12.738138431
6.762507077;1856.15598166;7.625984397;18.281615898;2.60773271;7579.40525347;338.561374719;-1.640583189;5.158176827;0.193866948;-0.013524606;0.033800163;0.002778957;13.451146438
6.984221583;1936.85841565;7.812885307;18.926106149;2.693666916;7985.60633597;336.474801149;-1.660345177;5.261126549;0.19007336;-0.013856073;0.034110158;0.00271632;14.171722524
7.200934289;2017.56084964;7.992659672;19.575214674;2.781542422;8395.9208199;334.484238366;-1.67832745;5.356589313;0.186685957;-0.014174901;0.034410311;0.002654983;14.899580409
7.412748728;2098.26328362;8.165674097;20.229756925;2.871442875;8810.20054776;332.581309472;-1.694662662;5.444808916;0.183661174;-0.01448174;0.03470132;0.002594912;15.634457767
7.619765744;2178.96571761;8.332238687;20.890507895;2.963453597;9228.3078081;330.759224496;-1.70946827;5.526022344;0.18096199;-0.014777141;0.034983804;0.002536076;16.376110791
7.822083716;2259.66815159;8.492663231;21.558251424;3.057660534;9650.11285215;329.011883018;-1.722848987;5.600461397;0.178556717;-0.015061652;0.035258322;0.002478444;17.124309782
