Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           CO2 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
P(MPa);rho(mol/m3);Cv_res;Cp_res;alfa;uJT;w;lnkT;inv_kT;kT;d2AdT2;dAdT;dPdrho;dPdT;Cv;Cp
4.435337169;1831.5018315;105446.061781;105448.054736;1.691167013;2154.58665135;215.588614805;-1.320758305;3.74626111;0.266932809;-0.000453454;0.021914854;0.002045459;6.335553211;0.87676731;0.876792195
4.58418355;1904.76190476;109558.747243;109560.795767;1.726119689;2256.68856944;214.147502836;-1.346565602;3.844200318;0.260132126;-0.00047114;0.022051003;0.002018205;6.635549857;0.910962077;0.910987424
4.731044885;1978.02197802;113663.621331;113665.726765;1.761729688;2359.98584381;212.713435144;-1.370868117;3.938768525;0.253886461;-0.000488792;0.022182936;0.001991266;6.939045447;0.945091898;0.945117718
4.875944181;2051.28205128;117760.713654;117762.877371;1.798008172;2464.47562975;211.286499157;-1.393774504;4.030032756;0.248136941;-0.000506411;0.022310957;0.001964641;7.246031827;0.979157017;0.979183321
5.018904368;2124.54212454;121850.053681;121852.27708;1.834966319;2570.15513767;209.866785326;-1.415382126;4.118059785;0.242832803;-0.000523996;0.022435339;0.001938328;7.556501005;1.01315768;1.013184481
5.159948304;2197.8021978;125931.670669;125933.95518;1.872615318;2677.02163308;208.454387195;-1.435778604;4.202916144;0.237930039;-0.000541549;0.022556329;0.001912327;7.87044515;1.04709413;1.047121439
5.299098777;2271.06227106;130005.593759;130007.94084;1.910966344;2785.07243626;207.049401459;-1.4550431;4.28466813;0.233390305;-0.000559068;0.022674146;0.001886636;8.18785659;1.080966609;1.080994439
5.436378506;2344.32234432;134071.851875;134074.263016;1.950030543;2894.30492221;205.651928026;-1.473247402;4.363381815;0.229180036;-0.000576554;0.022788992;0.001861255;8.508727813;1.114775359;1.11480372
5.571810141;2417.58241758;138130.473827;138132.950547;1.989819015;3004.71652044;204.262070079;-1.490456847;4.439123057;0.225269718;-0.000594008;0.022901048;0.001836183;8.833051468;1.148520617;1.148549524
5.705416267;2490.84249084;142181.488243;142184.032092;2.030342785;3116.30471481;202.879934142;-1.506731095;4.511957503;0.221633293;-0.000611428;0.023010479;0.001811418;9.160820361;1.182202623;1.182232089
5.837219406;2564.1025641;146224.92358;146227.536139;2.071612788;3229.06704347;201.505630149;-1.522124803;4.5819506;0.218247661;-0.000628817;0.023117437;0.001786961;9.492027458;1.215821614;1.21585165
5.967242016;2637.36263736;150260.808146;150263.491026;2.113639841;3343.0010986;200.139271507;-1.536688194;4.649167607;0.215092267;-0.000646172;0.02322206;0.001762809;9.826665883;1.249377823;1.249408444
6.095506495;2710.62271062;154289.170088;154291.924932;2.156434616;3458.10452644;198.780975166;-1.550467561;4.713673598;0.212148758;-0.000663496;0.023324475;0.001738963;10.164728917;1.282871486;1.282902706
6.222035183;2783.88278388;158310.037397;158312.865878;2.200007613;3574.37502696;197.430861684;-1.56350569;4.775533473;0.209400689;-0.000680787;0.023424798;0.001715422;10.506209999;1.316302835;1.316334667
6.346850362;2857.14285714;162323.437917;162326.34174;2.244369129;3691.81035401;196.089055301;-1.575842238;4.834811968;0.206833276;-0.000698046;0.023523138;0.001692184;10.851102727;1.349672102;1.34970456
6.469974258;2930.4029304;166329.399312;166332.380212;2.289529226;3810.4083151;194.755684008;-1.587514063;4.89157366;0.204433188;-0.000715273;0.023619593;0.00166925;11.199400853;1.382979517;1.383012616
6.591429045;3003.66300366;170327.949123;170331.008869;2.335497694;3930.16677103;193.430879613;-1.598555509;4.945882977;0.202188366;-0.000732468;0.023714257;0.001646617;11.551098289;1.416225308;1.416259062
6.711236843;3076.92307692;174319.114723;174322.255113;2.38228402;4051.08363635;192.114777812;-1.608998658;4.997804209;0.20008787;-0.000749631;0.023807214;0.001624286;11.9061891;1.449409703;1.449444128
6.829419722;3150.18315018;178302.923322;178306.146184;2.429897341;4173.15687894;190.80751826;-1.618873558;5.04740151;0.198121746;-0.000766763;0.023898545;0.001602257;12.264667509;1.482532929;1.48256804
6.945999704;3223.44322344;182279.402004;182282.709199;2.47834641;4296.38451972;189.509244644;-1.628208422;5.094738914;0.196280912;-0.000783863;0.023988323;0.001580527;12.626527897;1.515595211;1.515631023
