Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           Methanol 
Feed Composition:     [0.5, 0.5] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
rho(mol/m3);S_A;S_F
8651.30092324;-9.6887e-05;-0.00759746
8715.86287042;-9.7021e-05;-0.007625915
8780.42481761;-9.7154e-05;-0.007654217
8844.9867648;-9.7286e-05;-0.007682369
8909.54871199;-9.7417e-05;-0.007710374
8974.11065918;-9.7547e-05;-0.007738234
9038.67260637;-9.7677e-05;-0.007765952
9103.23455355;-9.7806e-05;-0.00779353
9167.79650074;-9.7934e-05;-0.007820971
9232.35844793;-9.8061e-05;-0.007848277
9296.92039512;-9.8188e-05;-0.00787545
9361.48234231;-9.8314e-05;-0.007902494
9426.0442895;-9.8439e-05;-0.007929409
9490.60623668;-9.8563e-05;-0.007956199
9555.16818387;-9.8687e-05;-0.007982865
9619.73013106;-9.881e-05;-0.008009411
9684.29207825;-9.8933e-05;-0.008035837
9748.85402544;-9.9055e-05;-0.008062147
9813.41597263;-9.9176e-05;-0.008088342
9877.97791981;-9.9297e-05;-0.008114425
9942.539867;-9.9417e-05;-0.008140397
10007.1018142;-9.9536e-05;-0.008166261
10071.6637614;-9.9655e-05;-0.008192018
10136.2257086;-9.9774e-05;-0.00821767
10200.7876558;-9.9891e-05;-0.00824322
10265.3496029;-0.000100009;-0.008268669
10329.9115501;-0.000100125;-0.008294019
10394.4734973;-0.000100242;-0.008319272
10459.0354445;-0.000100357;-0.008344429
10523.5973917;-0.000100472;-0.008369493
10588.1593389;-0.000100587;-0.008394464
10652.7212861;-0.000100701;-0.008419345
10717.2832333;-0.000100815;-0.008444136
10781.8451805;-0.000100928;-0.008468841
10846.4071276;-0.000101041;-0.008493459
10910.9690748;-0.000101153;-0.008517993
10975.531022;-0.000101265;-0.008542443
11040.0929692;-0.000101377;-0.008566812
11104.6549164;-0.000101488;-0.0085911
11169.2168636;-0.000101598;-0.00861531
11233.7788108;-0.000101709;-0.008639441
11298.340758;-0.000101818;-0.008663496
11362.9027051;-0.000101928;-0.008687475
11427.4646523;-0.000102037;-0.00871138
11492.0265995;-0.000102146;-0.008735212
11556.5885467;-0.000102254;-0.008758971
11621.1504939;-0.000102362;-0.00878266
11685.7124411;-0.000102469;-0.008806278
11750.2743883;-0.000102576;-0.008829827
11814.8363355;-0.000102683;-0.008853308
11879.3982827;-0.00010279;-0.008876722
11943.9602298;-0.000102896;-0.008900069
12008.522177;-0.000103002;-0.008923351
12073.0841242;-0.000103107;-0.008946567
12137.6460714;-0.000103212;-0.00896972
12202.2080186;-0.000103317;-0.00899281
12266.7699658;-0.000103422;-0.009015837
12331.331913;-0.000103526;-0.009038802
12395.8938602;-0.00010363;-0.009061707
12460.4558073;-0.000103734;-0.009084551
12525.0177545;-0.000103837;-0.009107335
12589.5797017;-0.00010394;-0.00913006
12654.1416489;-0.000104043;-0.009152726
12718.7035961;-0.000104146;-0.009175334
12783.2655433;-0.000104248;-0.009197885
12847.8274905;-0.00010435;-0.009220379
12912.3894377;-0.000104452;-0.009242816
12976.9513849;-0.000104553;-0.009265198
13041.513332;-0.000104654;-0.009287524
13106.0752792;-0.000104755;-0.009309796
13170.6372264;-0.000104856;-0.009332012
13235.1991736;-0.000104956;-0.009354175
13299.7611208;-0.000105057;-0.009376284
13364.323068;-0.000105157;-0.00939834
13428.8850152;-0.000105256;-0.009420343
13493.4469624;-0.000105356;-0.009442294
13558.0089095;-0.000105455;-0.009464192
13622.5708567;-0.000105554;-0.009486039
13687.1328039;-0.000105653;-0.009507835
13751.6947511;-0.000105752;-0.009529579
13816.2566983;-0.00010585;-0.009551273
13880.8186455;-0.000105949;-0.009572917
13945.3805927;-0.000106047;-0.00959451
14009.9425399;-0.000106144;-0.009616054
14074.5044871;-0.000106242;-0.009637548
14139.0664342;-0.00010634;-0.009658994
14203.6283814;-0.000106437;-0.00968039
14268.1903286;-0.000106534;-0.009701738
14332.7522758;-0.000106631;-0.009723038
14397.314223;-0.000106727;-0.009744289
14461.8761702;-0.000106824;-0.009765493
14526.4381174;-0.00010692;-0.009786649
14591.0000646;-0.000107016;-0.009807759
14655.5620118;-0.000107112;-0.009828821
14720.1239589;-0.000107208;-0.009849836
14784.6859061;-0.000107304;-0.009870805
14849.2478533;-0.000107399;-0.009891728
14913.8098005;-0.000107495;-0.009912604
14978.3717477;-0.00010759;-0.009933435
15042.9336949;-0.000107685;-0.00995422
15107.4956421;-0.00010778;-0.00997496
15172.0575893;-0.000107874;-0.009995655
15236.6195364;-0.000107969;-0.010016304
15301.1814836;-0.000108063;-0.010036909
15365.7434308;-0.000108158;-0.01005747
15430.305378;-0.000108252;-0.010077986
15494.8673252;-0.000108346;-0.010098458
15559.4292724;-0.00010844;-0.010118886
15623.9912196;-0.000108533;-0.010139271
15688.5531668;-0.000108627;-0.010159612
15753.115114;-0.00010872;-0.01017991
15817.6770611;-0.000108814;-0.010200164
15882.2390083;-0.000108907;-0.010220376
15946.8009555;-0.000109;-0.010240545
16011.3629027;-0.000109093;-0.010260671
16075.9248499;-0.000109186;-0.010280755
16140.4867971;-0.000109279;-0.010300797
16205.0487443;-0.000109371;-0.010320797
16269.6106915;-0.000109464;-0.010340755
16334.1726386;-0.000109556;-0.010360672
16398.7345858;-0.000109649;-0.010380547
16463.296533;-0.000109741;-0.010400381
16527.8584802;-0.000109833;-0.010420174
16592.4204274;-0.000109925;-0.010439926
16656.9823746;-0.000110017;-0.010459637
16721.5443218;-0.000110109;-0.010479308
16786.106269;-0.000110201;-0.010498939
16850.6682162;-0.000110293;-0.010518529
16915.2301633;-0.000110384;-0.010538079
16979.7921105;-0.000110476;-0.01055759
17044.3540577;-0.000110567;-0.010577061
17108.9160049;-0.000110659;-0.010596492
17173.4779521;-0.00011075;-0.010615884
17238.0398993;-0.000110842;-0.010635237
17302.6018465;-0.000110933;-0.010654551
17367.1637937;-0.000111024;-0.010673826
17431.7257408;-0.000111115;-0.010693063
17496.287688;-0.000111206;-0.010712261
17560.8496352;-0.000111297;-0.010731421
17625.4115824;-0.000111388;-0.010750543
17689.9735296;-0.000111479;-0.010769626
17754.5354768;-0.00011157;-0.010788672
17819.097424;-0.000111661;-0.010807681
17883.6593712;-0.000111751;-0.010826651
17948.2213184;-0.000111842;-0.010845585
18012.7832655;-0.000111933;-0.010864481
18077.3452127;-0.000112023;-0.010883341
18141.9071599;-0.000112114;-0.010902163
18206.4691071;-0.000112205;-0.010920949
18271.0310543;-0.000112295;-0.010939699
18335.5930015;-0.000112386;-0.010958412
18400.1549487;-0.000112476;-0.010977089
18464.7168959;-0.000112567;-0.010995729
18529.2788431;-0.000112657;-0.011014334
18593.8407902;-0.000112748;-0.011032903
18658.4027374;-0.000112838;-0.011051437
18722.9646846;-0.000112929;-0.011069935
18787.5266318;-0.000113019;-0.011088398
18852.088579;-0.00011311;-0.011106826
18916.6505262;-0.0001132;-0.011125219
18981.2124734;-0.000113291;-0.011143577
19045.7744206;-0.000113381;-0.0111619
19110.3363677;-0.000113472;-0.011180189
19174.8983149;-0.000113562;-0.011198444
19239.4602621;-0.000113653;-0.011216664
19304.0222093;-0.000113744;-0.01123485
19368.5841565;-0.000113834;-0.011253003
19433.1461037;-0.000113925;-0.011271121
19497.7080509;-0.000114015;-0.011289206
19562.2699981;-0.000114106;-0.011307258
19626.8319453;-0.000114197;-0.011325276
19691.3938924;-0.000114288;-0.01134326
19755.9558396;-0.000114378;-0.011361212
19820.5177868;-0.000114469;-0.011379131
19885.079734;-0.00011456;-0.011397017
19949.6416812;-0.000114651;-0.011414871
20014.2036284;-0.000114742;-0.011432692
20078.7655756;-0.000114833;-0.011450481
20143.3275228;-0.000114924;-0.011468237
20207.8894699;-0.000115016;-0.011485962
20272.4514171;-0.000115107;-0.011503654
20337.0133643;-0.000115198;-0.011521315
20401.5753115;-0.00011529;-0.011538944
20466.1372587;-0.000115381;-0.011556541
20530.6992059;-0.000115473;-0.011574107
20595.2611531;-0.000115564;-0.011591642
20659.8231003;-0.000115656;-0.011609146
20724.3850475;-0.000115748;-0.011626619
20788.9469946;-0.00011584;-0.011644061
20853.5089418;-0.000115932;-0.011661472
20918.070889;-0.000116024;-0.011678853
20982.6328362;-0.000116116;-0.011696203
21047.1947834;-0.000116209;-0.011713523
21111.7567306;-0.000116301;-0.011730812
21176.3186778;-0.000116394;-0.011748072
21240.880625;-0.000116487;-0.011765302
21305.4425721;-0.000116579;-0.011782502
21370.0045193;-0.000116672;-0.011799672
21434.5664665;-0.000116766;-0.011816812
21499.1284137;-0.000116859;-0.011833924
21563.6903609;-0.000116952;-0.011851006
21628.2523081;-0.000117046;-0.011868058
21692.8142553;-0.00011714;-0.011885082
21757.3762025;-0.000117233;-0.011902077
21821.9381497;-0.000117328;-0.011919043
21886.5000968;-0.000117422;-0.01193598
21951.062044;-0.000117516;-0.011952889
22015.6239912;-0.000117611;-0.011969769
22080.1859384;-0.000117705;-0.011986621
22144.7478856;-0.0001178;-0.012003445
22209.3098328;-0.000117896;-0.012020241
22273.87178;-0.000117991;-0.012037009
22338.4337272;-0.000118086;-0.012053749
22402.9956744;-0.000118182;-0.012070461
22467.5576215;-0.000118278;-0.012087146
22532.1195687;-0.000118374;-0.012103803
22596.6815159;-0.000118471;-0.012120433
22661.2434631;-0.000118567;-0.012137035
22725.8054103;-0.000118664;-0.012153611
22790.3673575;-0.000118761;-0.012170159
22854.9293047;-0.000118859;-0.012186681
22919.4912519;-0.000118956;-0.012203176
