 Defined Configuration:----------------------
Number of components: 1 
Equation of State:    SRK+RG 
Mixing Rule:          VdW1f 
Components:           n-Decane(Lit) 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
T;rhov;rhol;P
585.0;348.884072719;3101.19658807;1.210757302
587.5;363.606362703;3066.99602219;1.253140637
590.0;378.998594774;3031.99916057;1.296613875
592.5;395.10611734;2996.15960195;1.341194455
595.0;411.977857403;2959.42631245;1.386899923
597.5;429.669533507;2921.74171969;1.433747917
600.0;448.245337428;2883.04169594;1.481756185
602.5;467.778187488;2843.25360918;1.530942625
605.0;488.318646151;2802.23279869;1.581280134
607.5;510.045268152;2760.07013627;1.632922013
610.0;532.981408551;2716.47037174;1.685751261
612.5;557.283821488;2671.36750011;1.739831276
615.0;583.100996484;2624.61068724;1.795180478
617.5;610.611423138;2576.0193749;1.851817423
620.0;640.032394802;2525.37491404;1.909760781
622.5;671.632154872;2472.40751644;1.969029334
625.0;705.750184858;2416.77796587;2.029641992
627.5;742.819475717;2358.04873683;2.091617784
630.0;783.42249888;2295.63845787;2.154975858
632.5;828.358897278;2228.74460326;2.219735484
635.0;878.792342096;2156.20296628;2.285916071
637.5;936.528869365;2076.20405778;2.353537138
640.0;1004.67721682;1985.63952722;2.422618346
642.5;1089.52822218;1878.21523618;2.493179481
645.0;1208.85504902;1736.15580459;2.565240462
646.962026653;1463.50516754;1463.50516754;2.622857803
