 Defined Configuration:----------------------
Number of components: 3 
Equation of State:    SRK 
Mixing Rule:          VdW1f 
Components:           nC20, CH4, CO2(4C) 
Feed Composition:     [0.2, 0.3, 0.5] 
Association Rule:     4C, 4C, 4C 
Combining Rule:       CR-1 
============================================
Phase 1;Phase 2;T(K);P(MPa)
0.989637973;0.2;577.243028547;0.219362065
0.989507634;0.2;577.71025707;0.221987899
0.989375649;0.2;578.178048156;0.224643838
0.989242;0.2;578.646400073;0.227330207
0.989106664;0.2;579.115311084;0.230047335
0.98896962;0.2;579.584779422;0.232795553
0.988830846;0.2;580.054803281;0.235575198
0.988690321;0.2;580.525380824;0.238386607
0.988548023;0.2;580.996510195;0.241230123
0.988403928;0.2;581.468189486;0.244106091
0.988258014;0.2;581.940416774;0.24701486
0.988110259;0.2;582.413190103;0.249956782
0.987960638;0.2;582.886507472;0.252932214
0.987809128;0.2;583.360366865;0.255941513
0.987655706;0.2;583.834766226;0.258985045
0.987500346;0.2;584.309703459;0.262063174
0.987343025;0.2;584.785176447;0.265176272
0.987183717;0.2;585.261183034;0.268324712
0.987022398;0.2;585.737721031;0.271508871
0.986859041;0.2;586.214788213;0.274729132
0.986693622;0.2;586.692382328;0.277985879
0.986526113;0.2;587.170501082;0.281279501
0.986356489;0.2;587.649142151;0.28461039
0.986184723;0.2;588.128303181;0.287978945
0.986010787;0.2;588.607981773;0.291385564
0.985834653;0.2;589.0881755;0.294830653
0.985656295;0.2;589.568881896;0.298314621
0.985475684;0.2;590.050098466;0.301837879
0.985292791;0.2;590.531822669;0.305400844
0.985107587;0.2;591.01405194;0.309003938
0.984920043;0.2;591.496783664;0.312647585
0.98473013;0.2;591.980015205;0.316332215
0.984537817;0.2;592.46374388;0.320058259
0.984343073;0.2;592.947963556;0.323826131
0.984145869;0.2;593.432681857;0.327636352
0.983946172;0.2;593.917885336;0.331489285
0.983743952;0.2;594.403575446;0.335385415
0.983539176;0.2;594.889747827;0.339325186
0.983331812;0.2;595.376401599;0.343309072
0.983121826;0.2;595.863532038;0.347337523
0.982909186;0.2;596.35113611;0.351411008
0.982693858;0.2;596.839212192;0.355530012
0.982475808;0.2;597.327755934;0.359695002
0.982255001;0.2;597.816766034;0.363906475
0.982031403;0.2;598.306237556;0.368164904
0.981804977;0.2;598.796167918;0.372470785
0.981575689;0.2;599.286553902;0.376824617
0.981343501;0.2;599.777392249;0.381226901
0.981108377;0.2;600.268679658;0.385678144
0.980870279;0.2;600.760412789;0.390178857
0.98062917;0.2;601.252588259;0.394729558
0.980385012;0.2;601.745202645;0.399330769
0.980137766;0.2;602.238252482;0.403983016
0.979887393;0.2;602.731734262;0.408686832
0.979633852;0.2;603.225644438;0.413442755
0.979377104;0.2;603.719979418;0.418251327
0.979117108;0.2;604.214735566;0.423113097
0.978853823;0.2;604.709909208;0.428028618
0.978587207;0.2;605.205496622;0.432998449
0.978317218;0.2;605.701494044;0.438023155
0.978043813;0.2;606.197897667;0.443103306
0.977766948;0.2;606.69470364;0.448239478
0.977486579;0.2;607.191908068;0.453432252
0.977202663;0.2;607.68950701;0.458682215
0.976915153;0.2;608.187496481;0.463989961
0.976624005;0.2;608.68587245;0.469356088
0.976329172;0.2;609.184630843;0.474781201
0.976030607;0.2;609.683767539;0.480265911
0.975728263;0.2;610.18327837;0.485810835
0.975422092;0.2;610.683159123;0.491416596
0.975266072;0.2;610.933220917;0.494241287
0.975110551;0.2;611.183388682;0.497082617
0.974954049;0.2;611.433646812;0.499939471
0.974796559;0.2;611.683994736;0.502811931
0.974638076;0.2;611.934431907;0.505700077
0.974478593;0.2;612.184957776;0.508603989
0.974318103;0.2;612.435571793;0.511523749
0.9741566;0.2;612.686273402;0.514459438
0.973994078;0.2;612.937062046;0.517411139
0.973830531;0.2;613.187937165;0.520378934
0.973665951;0.2;613.438898194;0.523362905
0.973500333;0.2;613.689944567;0.526363136
0.973333669;0.2;613.941075714;0.529379711
0.973165954;0.2;614.192291063;0.532412713
0.97299718;0.2;614.443590038;0.535462228
0.97282734;0.2;614.69497206;0.53852834
0.972656429;0.2;614.946436547;0.541611134
0.972484439;0.2;615.197982914;0.544710697
0.972311363;0.2;615.449610573;0.547827114
0.972137194;0.2;615.701318934;0.550960472
0.971961926;0.2;615.9531074;0.554110859
0.971785552;0.2;616.204975377;0.557278362
0.971608064;0.2;616.456922262;0.560463068
0.971429456;0.2;616.708947452;0.563665066
0.97124972;0.2;616.96105034;0.566884445
0.97106885;0.2;617.213230317;0.570121295
0.970886837;0.2;617.465486769;0.573375705
0.970703676;0.2;617.717819081;0.576647764
0.970519358;0.2;617.970226631;0.579937565
0.970333876;0.2;618.222708799;0.583245198
0.970147223;0.2;618.475264957;0.586570754
0.969959392;0.2;618.727894477;0.589914325
0.969770374;0.2;618.980596726;0.593276005
0.969580163;0.2;619.233371069;0.596655886
0.969388751;0.2;619.486216867;0.600054061
0.96919613;0.2;619.739133478;0.603470624
0.969002292;0.2;619.992120256;0.60690567
0.968807231;0.2;620.245176552;0.610359294
0.968610938;0.2;620.498301715;0.61383159
0.968413405;0.2;620.75149509;0.617322655
0.968214624;0.2;621.004756017;0.620832586
0.968014588;0.2;621.258083835;0.624361478
0.967813289;0.2;621.511477878;0.627909429
0.967610718;0.2;621.764937477;0.631476537
0.967406868;0.2;622.018461962;0.6350629
0.96720173;0.2;622.272050656;0.638668617
0.966995297;0.2;622.52570288;0.642293788
0.966787559;0.2;622.779417952;0.645938511
0.96657851;0.2;623.033195187;0.649602888
0.96636814;0.2;623.287033895;0.653287019
0.966156441;0.2;623.540933384;0.656991006
0.965943404;0.2;623.794892958;0.66071495
0.965729022;0.2;624.048911918;0.664458954
0.965513286;0.2;624.30298956;0.668223121
0.965296186;0.2;624.557125178;0.672007554
0.965077715;0.2;624.811318063;0.675812357
0.964857864;0.2;625.065567501;0.679637635
0.964636624;0.2;625.319872774;0.683483492
0.964413985;0.2;625.574233163;0.687350035
0.964189941;0.2;625.828647943;0.69123737
0.96396448;0.2;626.083116387;0.695145602
0.963737595;0.2;626.337637764;0.69907484
0.963509277;0.2;626.592211338;0.703025192
0.963279515;0.2;626.846836371;0.706996765
0.963048302;0.2;627.101512122;0.710989669
0.962815628;0.2;627.356237843;0.715004013
0.962581484;0.2;627.611012788;0.719039907
0.962345859;0.2;627.865836201;0.723097462
0.962108746;0.2;628.120707326;0.727176789
0.961870135;0.2;628.375625404;0.731278
0.961630015;0.2;628.630589669;0.735401208
0.961388378;0.2;628.885599355;0.739546525
0.961145214;0.2;629.140653689;0.743714065
0.960900512;0.2;629.395751896;0.747903942
0.960654265;0.2;629.650893198;0.752116271
0.96040646;0.2;629.906076811;0.756351168
0.96015709;0.2;630.161301947;0.760608748
0.959906143;0.2;630.416567819;0.764889128
0.959653611;0.2;630.671873629;0.769192425
0.959399481;0.2;630.927218581;0.773518758
0.959143746;0.2;631.182601873;0.777868244
0.958886394;0.2;631.438022698;0.782241003
0.958627415;0.2;631.693480246;0.786637154
0.958366799;0.2;631.948973704;0.791056819
0.958104535;0.2;632.204502254;0.795500118
0.957840614;0.2;632.460065075;0.799967173
0.957575024;0.2;632.715661341;0.804458106
0.957307755;0.2;632.971290222;0.80897304
0.957038796;0.2;633.226950884;0.813512098
0.956768136;0.2;633.482642491;0.818075407
0.956495766;0.2;633.7383642;0.822663089
0.956221673;0.2;633.994115165;0.827275272
0.955945847;0.2;634.249894538;0.83191208
0.955668278;0.2;634.505701463;0.836573643
0.955388953;0.2;634.761535083;0.841260086
0.955107862;0.2;635.017394536;0.845971539
0.954824994;0.2;635.273278956;0.850708131
0.954540336;0.2;635.529187472;0.855469992
0.954253879;0.2;635.785119209;0.860257252
0.953965611;0.2;636.041073289;0.865070043
0.953675519;0.2;636.297048828;0.869908496
0.953383593;0.2;636.553044951;0.874772745
0.953089821;0.2;636.809060743;0.879662922
0.952794191;0.2;637.065095319;0.884579163
0.952496691;0.2;637.32114778;0.889521601
0.95219731;0.2;637.577217221;0.894490374
0.951896035;0.2;637.833302733;0.899485616
0.951592855;0.2;638.089403403;0.904507466
0.951287757;0.2;638.345518312;0.909556062
0.95098073;0.2;638.60164654;0.914631542
0.950671761;0.2;638.857787158;0.919734045
0.950360837;0.2;639.113939238;0.924863713
0.950047947;0.2;639.370101841;0.930020685
0.949733078;0.2;639.626274031;0.935205105
0.949416216;0.2;639.882454859;0.940417115
0.949097351;0.2;640.13864338;0.945656857
0.948776468;0.2;640.394838637;0.950924478
0.948453556;0.2;640.651039674;0.956220121
0.948128601;0.2;640.907245526;0.961543933
0.94780159;0.2;641.163455227;0.966896061
0.94747251;0.2;641.419667804;0.972276652
0.947141349;0.2;641.675882281;0.977685854
0.946808092;0.2;641.932097672;0.983123818
0.946472728;0.2;642.188312996;0.988590692
0.946135241;0.2;642.44452726;0.994086629
0.945795619;0.2;642.700739475;0.999611781
0.945453848;0.2;642.956948598;1.005166298
0.945109915;0.2;643.213153694;1.010750338
0.944763806;0.2;643.469353705;1.016364052
0.944415507;0.2;643.725547625;1.022007597
0.944065004;0.2;643.981734432;1.02768113
0.943712284;0.2;644.237913102;1.033384807
0.943357331;0.2;644.494082604;1.039118786
0.943000133;0.2;644.750241903;1.044883228
0.942640674;0.2;645.006389957;1.050678292
0.94227894;0.2;645.26252572;1.056504138
0.941914918;0.2;645.518648142;1.06236093
0.941548592;0.2;645.774756165;1.06824883
0.941179947;0.2;646.030848729;1.074168002
0.94080897;0.2;646.286924765;1.080118611
0.940435645;0.2;646.542983203;1.086100822
0.940059957;0.2;646.799022965;1.092114803
0.939681892;0.2;647.055042967;1.098160722
0.939301434;0.2;647.311042121;1.104238747
0.938918569;0.2;647.567019335;1.110349049
0.93853328;0.2;647.822973508;1.116491797
0.938145552;0.2;648.078903536;1.122667165
0.937755371;0.2;648.33480831;1.128875325
0.93736272;0.2;648.590686712;1.135116452
0.936967584;0.2;648.846537623;1.14139072
0.936569947;0.2;649.102359915;1.147698305
0.936169792;0.2;649.358152454;1.154039386
0.935767106;0.2;649.613914103;1.16041414
0.93536187;0.2;649.869643718;1.166822746
0.934954069;0.2;650.125340148;1.173265386
0.934543687;0.2;650.381002238;1.179742241
0.934130707;0.2;650.636628826;1.186253494
0.933715112;0.2;650.892218744;1.192799329
0.933296887;0.2;651.147770818;1.199379931
0.932876015;0.2;651.403283869;1.205995486
0.932452478;0.2;651.65875671;1.212646182
0.93202626;0.2;651.914188151;1.219332207
0.931597344;0.2;652.169576992;1.226053751
0.931165712;0.2;652.42492203;1.232811005
0.930731348;0.2;652.680222054;1.239604162
0.930294234;0.2;652.935475846;1.246433414
0.929854352;0.2;653.190682184;1.253298957
0.929411686;0.2;653.445839838;1.260200986
0.928966217;0.2;653.700947571;1.267139699
0.928517928;0.2;653.956004142;1.274115294
0.928066801;0.2;654.211008301;1.281127971
0.927612817;0.2;654.465958792;1.288177931
0.927155959;0.2;654.720854352;1.295265376
0.926696208;0.2;654.975693712;1.302390509
0.926233547;0.2;655.230475597;1.309553537
0.925767956;0.2;655.485198723;1.316754664
0.925299417;0.2;655.7398618;1.323994099
0.924827911;0.2;655.994463532;1.331272051
0.92435342;0.2;656.249002615;1.338588731
0.923875924;0.2;656.503477738;1.345944349
0.923395405;0.2;656.757887584;1.35333912
0.922911843;0.2;657.012230826;1.360773257
0.922425219;0.2;657.266506133;1.368246978
0.921935514;0.2;657.520712164;1.375760499
0.921442707;0.2;657.774847574;1.383314039
0.92094678;0.2;658.028911006;1.390907819
0.920447713;0.2;658.282901098;1.398542061
0.919945485;0.2;658.536816482;1.406216989
0.919440077;0.2;658.790655779;1.413932827
0.918931468;0.2;659.044417606;1.421689801
0.918419639;0.2;659.298100567;1.429488141
0.917904568;0.2;659.551703263;1.437328074
0.917386235;0.2;659.805224285;1.445209834
0.91686462;0.2;660.058662215;1.453133652
0.916339702;0.2;660.312015631;1.461099763
0.915811459;0.2;660.565283097;1.469108402
0.915279871;0.2;660.818463172;1.477159809
0.914744916;0.2;661.071554408;1.485254221
0.914206573;0.2;661.324555346;1.49339188
0.913664821;0.2;661.577464518;1.501573029
0.913119638;0.2;661.830280451;1.509797912
0.912571002;0.2;662.08300166;1.518066775
