Methanol;Methanol;
5.29063028790725E-10;3.3444163952;
5.31376111496276E-10;2.1506402891;
5.22976558498391E-10;2.9693025715;
5.19459906091674E-10;2.9082966303;
5.13691145471764E-10;2.865473182;
5.26995754701491E-10;3.2929304771;
5.39149488218146E-10;1.2237866182;
5.16627640465245E-10;2.9394772309;
5.35573560366703E-10;3.0479213288;
5.20023613161828E-10;2.3376252269;
5.19786710044593E-10;2.7873825041;
5.33781257461097E-10;3.0172162247;
5.17582988661274E-10;3.1725761455;
5.18086789536827E-10;2.9049886156;
5.20409807796784E-10;2.9447677468;
5.13037332975423E-10;3.1245223475;
5.43861377480784E-10;2.7525480217;
5.20038783992794E-10;3.0103521042;
5.21399597076327E-10;3.0041396801;
5.19835311359183E-10;2.5640499908;
5.15666260680563E-10;2.5767509636;
5.30336722743138E-10;3.3880388083;
5.1540501944556E-10;3.023993041;
5.19170033673293E-10;2.8937214254;
5.23772022118619E-10;2.9387752907;
5.06565538955661E-10;2.981785108;
5.43210081828363E-10;3.606073431;
5.2175154162608E-10;2.9287750463;
5.13920525615812E-10;2.9109533361;
5.20072628200118E-10;2.7613597;
5.14391892471147E-10;2.5229643735;
5.25750151085776E-10;3.2639548591;
5.19144668598797E-10;2.8854646775;
5.20852173550058E-10;2.887562181;
5.24502716616524E-10;2.9157321;
5.16991231313329E-10;2.8805957243;
5.34181034300588E-10;3.3554565608;
5.21795504440814E-10;2.8535776635;
5.14575914235564E-10;2.8579528187;
5.21485435107473E-10;2.9224292798;
5.20027283778334E-10;2.5018833423;
5.22319425665912E-10;3.0074467658;
5.21357373246813E-10;2.7903667424;
5.22318037229082E-10;2.8662657837;
5.24622978623913E-10;2.8871547918;
5.25927156422117E-10;2.8160704739;
5.24344823597636E-10;2.8393977891;
5.21817485848181E-10;2.8159789721;
5.21010495786311E-10;2.8277046599;
5.22242382086944E-10;2.9909640118;
5.23019011220591E-10;2.560184113;
5.20470360760203E-10;2.8710040334;
5.22844580301521E-10;2.7966290919;
5.22565892668818E-10;2.8446501213;
5.22965616702267E-10;2.8540685822;
5.28659466716107E-10;2.8173782472;
5.19003592610227E-10;2.5828166121;
5.21827562460442E-10;2.8015730119;
5.25427769104545E-10;2.8146923141;
5.22831597312385E-10;3.0088926716;
5.24113137958028E-10;2.6630264943;
5.20118988522152E-10;2.8015921953;
5.23527231446749E-10;2.8224666755;
5.22689820388686E-10;2.8338422901;
5.22104731249199E-10;2.8318824634;
5.29215000472697E-10;2.8246955836;
5.1835311679478E-10;2.5457942886;
5.22555465184548E-10;2.813636546;
5.26461901323826E-10;2.8145799727;
5.23037836648585E-10;2.86683883;
5.23958020755273E-10;2.7427056888;
5.2040335097492E-10;2.7790919029;
5.23522116285009E-10;2.8430334262;
5.2275178424862E-10;2.8284383745;
5.22129636618847E-10;2.8222984194;
5.25612439997679E-10;2.8335530216;
5.20363375868976E-10;2.5537632777;
5.22994572622731E-10;2.8226484653;
5.26045610128888E-10;2.8183976395;
5.23103041798986E-10;2.7623872369;
5.23465622135059E-10;2.8612242628;
5.21465112170006E-10;2.7946842848;
5.23131674478405E-10;2.8433324639;
5.22975179441366E-10;2.8215281705;
5.22225635740614E-10;2.8177714639;
5.21911765436107E-10;2.8346234265;
5.23696943334811E-10;2.7408219581;
5.23214126341823E-10;2.827154425;
5.25705906895175E-10;2.8215781963;
5.23134015422952E-10;2.7189230655;
5.23081000023265E-10;2.8921849717;
5.22414576113006E-10;2.8159837847;
5.22825041424673E-10;2.8359202579;
5.23099649833649E-10;2.818660578;
5.22883230425747E-10;2.8165517989;
5.20989487912144E-10;2.830876087;
5.25052134161833E-10;2.8671245067;
5.23267684104911E-10;2.8260110913;
5.24374466874209E-10;2.8228320203;
5.23144942856152E-10;2.7181378454;
5.22896892086578E-10;2.8664321675;
5.23538340077378E-10;2.827763079;
5.22893961861243E-10;2.8306478431;
5.23161885029791E-10;2.8172267818;
5.23352532447562E-10;2.8171209078;
5.22523298692431E-10;2.8257378686;
5.24017599169568E-10;2.9013651755;
5.23247110254365E-10;2.823511099;
5.233158639856E-10;2.8202209194;
5.23185754617252E-10;2.7255703717;
5.23077923937867E-10;2.8534099794;
5.24049763578413E-10;2.8332764395;
5.23187216776414E-10;2.8237717533;
5.23350219291882E-10;2.8164703456;
5.23587183458469E-10;2.8174054622;
5.23974201228557E-10;2.8231266597;
5.232627518505E-10;2.8604478116;
5.23311692087122E-10;2.8214542179;
5.22795697165823E-10;2.8188051216;
5.23283320908195E-10;2.7765480617;
5.23265889023527E-10;2.8223273968;
5.23794098583178E-10;2.8350649596;
5.23353795744438E-10;2.8131013842;
5.23444386422927E-10;2.8160921275;
5.23475212276706E-10;2.8167659696;
5.24682789365441E-10;2.8160983687;
5.229298299225E-10;2.823283952;
5.23354493234968E-10;2.8188008277;
4.26694205936747E-10;8.4681081741;
6.83131861990211E-10;8.8765443445;
5.3443461344242E-10;8.2256590563;
4.38927962536056E-10;8.1095178922;
4.36749352753877E-10;8.4673131077;
4.85782457703842E-10;8.3071516166;
4.33467938101152E-10;8.2441914079;
4.8919171688119E-10;8.1443883258;
4.62765946561213E-10;8.4863501171;
4.69659740065321E-10;8.2232447761;
4.35030447725397E-10;8.2713220289;
4.86468615881024E-10;8.0672153698;
4.80310397831972E-10;8.1526407654;
4.15609707284315E-10;8.1232557899;
4.38334194005503E-10;8.3172100602;
4.21263931156717E-10;8.0060884387;
4.36001125952961E-10;8.1346507889;
3.6804661107053E-10;8.2106063739;
4.35600325162797E-10;8.205073661;
4.5758626487784E-10;8.2748765319;
3.8528077280791E-10;8.1713284814;
3.54493727861185E-10;7.6758804772;
4.17737435126969E-10;8.1370051428;
3.8125946445741E-10;8.1911357178;
4.14905968331552E-10;8.150625605;
3.5361573244839E-10;7.9472773523;
4.35333934503955E-10;8.0874737706;
3.074740581652E-10;8.243715398;
3.87810075074092E-10;8.0699310754;
3.68339508712519E-10;8.2910089516;
3.12334812891721E-10;8.1538696247;
2.67191218137804E-10;8.0273949413;
2.93658084797007E-10;8.1669574397;
3.55717259210663E-10;8.2582016694;
3.22066298412543E-10;8.1507648753;
2.95390421180307E-10;7.9482587991;
3.53547030238875E-10;8.1591855386;
2.77187781712535E-10;8.26026991;
3.12117846109016E-10;8.1018042744;
2.83404955236985E-10;8.2612178882;
2.75399638308228E-10;8.2033095018;
2.26400118730023E-10;8.4203349972;
2.18752974930843E-10;8.2350362979;
2.71619986442912E-10;8.2922471832;
2.38623380350137E-10;8.208428143;
2.48711690949981E-10;8.2188540664;
2.57788687824451E-10;8.2149816955;
2.62044643486203E-10;8.2685471661;
2.71196033434673E-10;8.2333185086;
2.38405722302948E-10;8.245553741;
2.5422560620699E-10;8.2827866243;
2.36096010587529E-10;8.5961888909;
1.91487380436147E-10;8.3203068809;
2.29571350059037E-10;8.3092699401;
2.11801968860503E-10;8.2492066603;
2.25374684535632E-10;8.3719618007;
2.15746023985505E-10;8.2954993314;
2.61182947718961E-10;8.2775705279;
2.51051097243056E-10;8.3505619815;
2.44432574906176E-10;8.2733523143;
2.55726984271571E-10;8.325302802;
2.60728899653399E-10;8.5609575347;
2.31625315084637E-10;8.3549583932;
2.46261754834109E-10;8.3157816951;
2.1855304281009E-10;8.3021655215;
2.49681321052826E-10;8.4239910667;
2.28716306558394E-10;8.334919944;
2.67192792825285E-10;8.2826248435;
2.52240997801756E-10;8.3645454516;
2.48813835556821E-10;8.2894444227;
2.63248891263674E-10;8.3238615253;
2.77871970051175E-10;8.4992847455;
2.5702232101892E-10;8.3199470313;
2.75465873997064E-10;8.3186294003;
2.4308378354462E-10;8.322927466;
2.71883953733374E-10;8.337634852;
2.65019969077834E-10;8.3230440188;
2.74300189563667E-10;8.2895001363;
2.62754918885708E-10;8.3628338113;
2.56900531894271E-10;8.298213296;
2.69941295600055E-10;8.3363170858;
2.81921175282649E-10;8.3990608746;
2.80884592468656E-10;8.3092903889;
2.89120898131303E-10;8.3217551383;
2.76831721796879E-10;8.3372706601;
2.82985270073647E-10;8.2944567447;
2.85957756504612E-10;8.3214759389;
2.76910504623475E-10;8.3035177926;
2.76780068352186E-10;8.3586403021;
2.63259765555721E-10;8.3060468763;
2.73287497768246E-10;8.342544866;
2.73119576051666E-10;8.3104885589;
2.84382310480269E-10;8.317787208;
2.9589666115246E-10;8.3339350727;
2.91126927644915E-10;8.3438142064;
2.86845253410301E-10;8.2994342054;
2.93643729020538E-10;8.3352900266;
2.7172634346565E-10;8.3266964376;
2.77392756806698E-10;8.3557977039;
2.68305262083568E-10;8.3112741278;
2.72590931369162E-10;8.3413326557;
2.67962427255693E-10;8.2865559154;
2.76653434506645E-10;8.3384871643;
2.96425577118717E-10;8.340243341;
2.87001808443087E-10;8.3436705711;
2.81757000053625E-10;8.3208478391;
2.80185742713973E-10;8.342873965;
2.67476102414546E-10;8.33938471;
2.74969799087106E-10;8.3437813932;
2.70915980676851E-10;8.3215672959;
2.72220522336262E-10;8.3373173808;
2.66831067509699E-10;8.2790025345;
2.70499372355339E-10;8.3479271313;
2.77043294884195E-10;8.3395935633;
2.7266776472385E-10;8.3420111101;
2.70840298713275E-10;8.3453726601;
2.72387861297315E-10;8.3465087397;
2.65442505168376E-10;8.3433227209;
2.73501421718733E-10;8.334374231;
2.72043438757119E-10;8.3391370657;
2.71436041523421E-10;8.3352984963;
2.68376570203219E-10;8.3019891771;
