464.2;3.3921;17816;5.61E-05;14.371;14.561;35.754;102.37;155.78;498.42;0.42411;undefined;undefined;0.0055923;liquid
464.3;3.3988;17809;5.62E-05;14.385;14.576;35.786;102.4;155.91;497.91;0.42578;undefined;undefined;0.0055799;liquid
464.4;3.4054;17802;5.62E-05;14.4;14.591;35.817;102.42;156.03;497.4;0.42745;undefined;undefined;0.0055674;liquid
464.5;3.4121;17795;5.62E-05;14.415;14.606;35.849;102.45;156.16;496.9;0.42913;undefined;undefined;0.005555;liquid
464.6;3.4188;17787;5.62E-05;14.429;14.622;35.881;102.47;156.28;496.39;0.43082;undefined;undefined;0.0055425;liquid
464.7;3.4255;17780;5.62E-05;14.444;14.637;35.913;102.5;156.41;495.88;0.43251;undefined;undefined;0.00553;liquid
464.8;3.4321;17773;5.63E-05;14.459;14.652;35.945;102.52;156.54;495.37;0.43421;undefined;undefined;0.0055176;liquid
464.9;3.4389;17766;5.63E-05;14.474;14.667;35.977;102.55;156.67;494.87;0.43591;undefined;undefined;0.0055051;liquid
465;3.4456;17759;5.63E-05;14.488;14.682;36.009;102.57;156.79;494.36;0.43762;undefined;undefined;0.0054927;liquid
465.1;3.4523;17752;5.63E-05;14.503;14.698;36.041;102.6;156.92;493.85;0.43934;undefined;undefined;0.0054802;liquid
465.2;3.459;17744;5.64E-05;14.518;14.713;36.072;102.62;157.05;493.34;0.44106;undefined;undefined;0.0054678;liquid
465.3;3.4658;17737;5.64E-05;14.533;14.728;36.104;102.65;157.18;492.83;0.44279;undefined;undefined;0.0054553;liquid
465.4;3.4725;17730;5.64E-05;14.547;14.743;36.136;102.67;157.31;492.32;0.44452;undefined;undefined;0.0054428;liquid
465.5;3.4793;17723;5.64E-05;14.562;14.759;36.168;102.7;157.44;491.81;0.44626;undefined;undefined;0.0054304;liquid
465.6;3.4861;17716;5.64E-05;14.577;14.774;36.2;102.72;157.57;491.3;0.44801;undefined;undefined;0.0054179;liquid
465.7;3.4929;17708;5.65E-05;14.592;14.789;36.232;102.75;157.7;490.78;0.44976;undefined;undefined;0.0054055;liquid
465.8;3.4997;17701;5.65E-05;14.607;14.804;36.264;102.77;157.83;490.27;0.45152;undefined;undefined;0.005393;liquid
465.9;3.5065;17694;5.65E-05;14.622;14.82;36.296;102.8;157.97;489.76;0.45329;undefined;undefined;0.0053805;liquid
466;3.5133;17687;5.65E-05;14.636;14.835;36.328;102.82;158.1;489.25;0.45506;undefined;undefined;0.0053681;liquid
466.1;3.5201;17679;5.66E-05;14.651;14.85;36.36;102.85;158.23;488.73;0.45684;undefined;undefined;0.0053556;liquid
466.2;3.5269;17672;5.66E-05;14.666;14.866;36.393;102.87;158.36;488.22;0.45863;undefined;undefined;0.0053431;liquid
466.3;3.5338;17665;5.66E-05;14.681;14.881;36.425;102.9;158.5;487.71;0.46042;undefined;undefined;0.0053306;liquid
466.4;3.5406;17658;5.66E-05;14.696;14.896;36.457;102.92;158.63;487.19;0.46222;undefined;undefined;0.0053182;liquid
466.5;3.5475;17650;5.67E-05;14.711;14.912;36.489;102.95;158.77;486.68;0.46403;undefined;undefined;0.0053057;liquid
466.6;3.5544;17643;5.67E-05;14.726;14.927;36.521;102.97;158.9;486.16;0.46584;undefined;undefined;0.0052932;liquid
466.7;3.5613;17636;5.67E-05;14.741;14.943;36.553;103;159.04;485.65;0.46766;undefined;undefined;0.0052808;liquid
466.8;3.5682;17628;5.67E-05;14.756;14.958;36.585;103.02;159.17;485.13;0.46949;undefined;undefined;0.0052683;liquid
466.9;3.5751;17621;5.68E-05;14.77;14.973;36.617;103.05;159.31;484.61;0.47132;undefined;undefined;0.0052558;liquid
