1;Methane;0.01604
2;Ethane;0.03007
3;Propane;0.04410
4;n-Butane;0.05812
5;CO2;0.04401
6;Benzeno;0.07811
7;Methanol;0.03204
8;Ethanol;0.04607
9;n-Hexane;0.08618
10;n-Nonane;0.12820
11;H2S(4C);0.03408
12;Methanol;0.03204
13;n-Hexane;0.08618
14;n-Heptane;0.10021
